car-id,car-type,cluster,proj_x,proj_y
20150006070032-991,2,4,186050.8,45424.926
20150006080007-531,3,1,-172464.3,-90681.51
20150007020012-126,1,4,93177.77,30651.682
20150007030049-86,4,2,15287.259,75814.44
20150007040000-591,1,2,114797.06,155978.14
20150007040001-180,1,4,189615.7,50428.613
20150007040010-264,3,0,108965.234,-118204.88
20150007050005-262,2P,10,52277.656,-42559.14
20150007060003-154,1,6,-148781.58,-98495.1
20150007070026-475,2,3,-194733.8,91361.98
20150007080020-82,2,0,58760.633,-106967.36
20150007090049-931,2,2,72932.04,68338.1
20150007110022-413,2,2,130584.67,155491.4
20150007120029-935,1,5,-23277.232,-81833.59
20150008010008-348,1,3,-194125.44,22289.033
20150008010023-545,3,2,85109.15,74166.336
20150008010052-816,2,4,30538.393,43212.617
20150008060003-21,1,11,69767.35,-132873.86
20150008060048-631,2,4,74351.21,81876.586
20150008080010-6,2,0,160894.23,-137448.84
20150008080048-814,2,4,153200.58,49374.195
20150008110047-331,2,4,227582.1,103398.516
20150009030033-322,3,2,12887.937,79059.914
20150009040035-292,1,4,169478.67,60192.254
20150009060037-852,1,11,74689.14,-137129.38
20150009080021-959,2,3,-194940.55,95942.05
20150009100056-432,2,6,-154030.84,-99711.266
20150009110038-258,1,3,-176452.88,81755.2
20150010010032-566,1,0,8473.831,-110385.59
20150010020057-694,2,3,-188855.6,23975.045
20150010030002-664,2,4,152167.73,59329.547
20150010030024-367,4,7,-202149.5,-78177.26
20150010040007-631,2,0,145773.34,-136812.55
20150010040037-125,1,3,-193961.69,98531.1
20150010050052-231,1,4,162003.55,48380.28
20150010070052-300,2,4,81069.98,34467.457
20150010080005-370,1,3,-193705.55,68168.75
20150010080038-54,2,4,92787.31,76190.67
20150010100022-558,1,0,93917.76,-130645.195
20150010120011-538,2P,-1,-209787.02,-20284.666
20150010120016-560,1,3,-185231.22,65638.125
20150010120021-402,1,11,103022.766,-139511.64
20150010120037-8,1,3,-189557.06,14630.755
20150011020058-334,2,2,101108.87,77473.92
20150011060014-975,3,7,-203241.06,-77419.72
20150011070002-311,3,2,167967.1,96369.03
20150011070040-794,2,2,91597.98,128164.0
20150011120023-724,1,3,-188863.16,23821.02
20150012040030-974,2,6,-150949.06,-97790.055
20150012080004-451,1,0,58434.188,-106928.38
20150013020033-816,1,12,104879.16,127116.0
20150013030032-591,2,13,152441.88,110243.09
20150013030046-227,2,3,-194215.64,29974.535
20150013040059-365,1,3,-178533.58,165894.73
20150013050035-283,1,4,88249.6,25951.44
20150013060021-372,3,5,92311.086,-91489.08
20150013090012-973,2P,-1,-216569.97,-116361.96
20150013090015-853,2,3,-194580.58,99039.45
20150013110015-112,2,4,130858.36,29421.469
20150013110026-772,2P,14,-184623.61,-153916.66
20150013110026-797,1,3,-188845.45,22385.271
20150014010052-857,4,0,15898.192,-107915.43
20150014010056-634,2,5,-23943.873,-84434.36
20150014020055-887,1,3,-194196.02,26957.557
20150014030027-293,2,3,-174575.3,95435.48
20150014030033-497,3,13,138170.84,115836.05
20150014040019-114,2P,-1,-183125.89,-176653.16
20150014080042-626,2,13,69908.44,78398.87
20150014100049-755,2,0,83638.2,-133259.6
20150014120010-306,1,3,-180990.28,133902.38
20150015040031-221,2,0,129055.05,-131928.45
20150015070013-394,1,0,82270.84,-110370.27
20150015080046-446,2P,-1,-207884.17,-28716.549
20150015120027-493,2,3,-194566.44,65437.7
20150016010039-314,3,2,81597.95,72977.82
20150016010043-705,1,3,-193553.92,77228.33
20150016030059-807,6,0,25917.424,-112986.48
20150016040038-159,1,2,21015.803,85448.016
20150016040041-1,2,0,134589.19,-142582.28
20150016070028-165,2,-1,-135659.67,-120127.805
20150016070034-393,2,3,-189411.94,11025.939
20150016070037-632,3,11,39477.887,-113928.24
20150016090024-567,1,3,-193377.0,61976.25
20150016090035-720,1,4,113931.375,24306.525
20150016090054-771,3,0,56559.36,-110565.31
20150016110047-767,5,0,98312.08,-121279.91
20150016120041-181,3,3,-194286.84,89526.42
20150016120045-845,1,4,131598.42,37647.07
20150017040038-392,1,8,56785.16,-97864.11
20150017050047-192,1,5,5178.4175,-86051.43
20150017060051-822,2,2,127623.65,158303.86
20150017070009-324,3,12,36252.824,100171.51
20150017100000-961,2,3,-194268.88,62079.8
20150017120018-349,3,3,-185205.5,65860.47
20150017120055-53,2,4,95116.45,28555.082
20150018020030-238,3,4,149787.52,85773.99
20150018030025-615,3,6,-164870.36,-89775.516
20150018050050-556,2,4,152850.42,113075.9
20150018070004-166,6,0,165016.03,-132697.78
20150018080022-664,1,13,108663.62,94544.49
20150018100013-569,1,2,70522.72,68045.055
20150018110014-26,3,4,114183.805,98361.59
20150018110057-525,1,4,133969.27,33975.9
20150019010004-372,1,11,133388.16,-124645.25
20150019010017-785,2,4,110458.34,34579.39
20150019010055-677,1,3,-173489.45,107875.46
20150019030052-865,4,0,131588.08,-127167.01
20150019040039-358,1,4,139335.72,114993.25
20150019040047-472,1,15,112695.14,132880.97
20150019050058-11,2,4,184608.58,124468.74
20150019090006-7,3,3,-193833.47,64060.45
20150019120036-151,4,0,96843.18,-126147.77
20150020030052-644,2,4,107612.12,94315.8
20150020040021-389,2,2,43330.086,118770.16
20150020070057-880,1,5,99186.9,-91911.26
20150020090018-839,1,0,72158.37,-112593.99
20150020100002-73,4,0,80811.17,-123296.31
20150020120003-629,3,3,-179888.55,141944.47
20150021030032-233,3,5,-10423.082,-85435.0
20150021050036-788,3,4,152377.33,124067.87
20150021080000-521,3,3,-194936.2,74920.72
20150021110008-649,3,2,73139.305,123079.53
20150021110015-325,2,5,53917.16,-85558.13
20150022010045-622,3,5,-21765.873,-84403.984
20150022040009-518,1,2,124580.38,93074.39
20150022080040-235,2,3,-177220.73,65924.945
20150022090025-737,1,12,57087.67,129292.78
20150022110023-715,2,2,77997.99,70968.74
20150022120004-986,1,5,59927.13,-85637.36
20150023030012-350,3,11,195787.75,-148471.64
20150023080039-257,1,3,-177869.22,68293.58
20150024010014-301,2,4,188726.36,45866.0
20150024010045-514,3,4,212113.11,133978.5
20150024030045-709,1,4,153369.05,105284.63
20150024040008-576,3,11,131353.94,-142735.83
20150024060019-914,1,4,73478.15,37156.145
20150024060036-489,1,2,32894.94,51509.785
20150024070035-193,2,0,164197.89,-131898.97
20150024090008-901,1,0,92747.805,-144124.34
20150024110011-994,1,8,35823.25,-95881.51
20150024110030-386,2,4,123950.98,41172.703
20150024110036-855,1,2,46172.43,60642.395
20150024120030-790,2,0,2244.432,-108718.234
20150024120054-586,3,6,-155098.86,-94937.59
20150024120056-588,1,4,147549.16,39498.06
20150025040004-379,2,4,172598.55,42067.402
20150025070013-240,3,6,-147652.45,-98903.64
20150025100027-993,1,3,-194657.23,57794.55
20150025100041-260,3,2,58833.316,59481.062
20150026020037-148,2,4,41854.188,42659.805
20150026060010-577,3,6,-148875.25,-99086.664
20150026070015-698,1,12,70440.42,120736.375
20150026110014-327,3,2,99980.266,81724.02
20150026110019-851,1,-1,100129.91,-121739.38
20150026120010-942,2,3,-189937.12,13485.019
20150026120014-798,3,7,-198410.16,-76043.55
20150027070016-18,2P,16,68107.516,19729.568
20150027080052-161,3,8,49676.305,-97084.305
20150027100028-509,1,4,138683.86,30972.645
20150027100030-310,1,12,70977.35,144235.53
20150027100037-189,2,2,71874.086,86707.984
20150027110055-293,6,5,45034.34,-88633.87
20150027120012-20,3,4,181756.22,43281.375
20150028030041-325,1,4,162631.16,91574.69
20150028030051-590,3,2,128802.23,102112.305
20150028040010-50,3,3,-189585.39,17516.99
20150028050007-273,2,-1,137615.42,108049.2
20150028060003-741,1,3,-197893.7,-20613.443
20150028060011-953,1,0,67962.945,-124201.11
20150028060051-703,2P,-1,23171.654,-75177.41
20150028100038-378,2P,17,-186039.0,-167634.34
20150028120058-137,2,3,-194189.92,18443.451
20150029020040-164,1,13,107240.09,101038.414
20150029030057-969,2,3,-193702.53,98694.375
20150029080012-457,2,3,-189434.53,10225.963
20150029090022-198,2,6,-155255.62,-98993.34
20150029110001-754,2,0,88648.14,-124765.766
20150030030022-184,2,2,104670.72,141661.0
20150030050037-993,1,4,136724.05,41222.457
20150030050049-156,2,3,-197945.69,169.29463
20150030060046-176,3,4,201128.47,96192.97
20150030070026-128,1,12,39770.45,90913.87
20150030080014-34,1,2,54114.992,110263.51
20150030090034-886,2P,10,89381.22,-40781.93
20150030090047-958,1,0,72816.195,-121933.695
20150030100046-714,2,11,84699.73,-121610.48
20150030120002-677,2,2,143290.78,159233.28
20150030120023-694,3,4,110176.96,108770.84
20150031010000-784,3,5,-24154.861,-84429.75
20150031030030-236,1,3,-178811.73,166457.31
20150031040021-961,1,4,156750.42,116448.17
20150031050048-776,1,11,67988.37,-119534.17
20150031060051-429,1,4,123549.4,23998.467
20150031070053-947,1,3,-193112.42,74199.52
20150031100003-289,1,5,46198.977,-85045.875
20150101010137-533,4,3,-180635.6,139686.83
20150101020154-96,4,3,-180359.64,145513.11
20150101030146-497,3,6,-164744.11,-89730.16
20150101040141-397,2,2,111384.58,151315.81
20150101050138-171,3,0,138464.0,-133004.44
20150101060136-731,4,4,179879.23,118752.79
20150101110137-214,1,2,77178.71,127578.05
20150102010156-22,4,3,-194397.66,23171.78
20150102020155-899,1,4,166032.27,42830.492
20150102080136-341,1,0,49334.566,-109580.625
20150102080153-960,2,3,-193815.73,59701.457
20150102100120-757,2,2,65783.586,162487.45
20150102120122-682,1,2,83152.69,125456.48
20150102120151-257,1,4,104176.96,86121.82
20150103020130-343,1,4,142798.38,57125.957
20150103030112-131,2,0,136074.73,-133959.33
20150103040138-632,1,8,53014.61,-93320.05
20150103070112-250,3,4,124156.27,34428.38
20150103070124-133,2,4,82999.734,69509.45
20150103100100-923,2,3,-193648.4,71339.02
20150103100107-497,1,4,116596.71,87714.414
20150104020118-228,4,-1,-180019.89,-114832.99
20150104030100-971,1,6,-164845.9,-90037.63
20150104030145-629,3,1,-171801.34,-91397.516
20150104040106-481,1,3,-174305.2,95003.65
20150104050127-736,1,3,-173946.05,101693.02
20150104050128-43,2,3,-194978.86,87725.91
20150104060101-478,2,0,157456.31,-128477.67
20150104090150-765,5,4,206894.77,132825.48
20150104100141-172,4,5,46542.695,-85320.95
20150104120123-255,2,11,65432.69,-114151.56
20150104120127-678,1,0,96746.89,-125975.234
20150105010142-777,3,2,87929.09,152929.1
20150105020100-532,5,3,-180175.95,145388.31
20150105040107-528,2,3,-193637.4,84796.02
20150105040122-318,3,18,81006.21,-109274.914
20150105040131-344,3,6,-163581.28,-90205.0
20150105040143-572,2,6,-147184.77,-103977.33
20150105040155-8,1,18,60913.582,-103979.79
20150105060134-242,1,6,-168763.78,-95941.95
20150105060153-959,2,8,10614.375,-93578.35
20150105060155-720,6,5,19323.77,-83985.71
20150105070153-470,1,4,166526.45,98141.25
20150105080122-729,1,4,174638.28,38957.504
20150105080156-835,1,2,50821.332,106829.27
20150105090139-623,1,2,77286.48,68228.234
20150105120114-572,3,15,86015.09,104836.42
20150106030143-319,1,2,104570.8,147284.1
20150106040105-101,4,4,163045.56,110871.97
20150106080108-146,1,0,58905.168,-111761.98
20150106080113-871,1,4,160481.58,49354.793
20150106120154-473,2,4,127971.664,107125.95
20150107030156-44,2,2,103919.586,145867.61
20150107050116-884,2,11,153339.2,-143199.47
20150107060117-495,2,7,-203333.17,-77093.93
20150107070123-611,2P,-1,-178769.7,-139890.47
20150107100101-687,1,6,-157343.27,-94142.59
20150108040111-888,1,2,108480.375,102965.836
20150108040141-642,1,11,175967.89,-146434.5
20150108050153-619,3,2,136683.8,99447.11
20150108060104-840,1,3,-177944.94,73836.16
20150108060137-927,2,2,33466.92,50072.78
20150108070109-950,2,2,44872.28,97751.32
20150108080154-471,1,1,-162712.9,-106223.88
20150108090141-220,5,3,-182063.45,117396.164
20150108090148-800,1,2,63956.32,65251.195
20150108100110-534,2,0,152514.83,-132693.36
20150108100148-571,1,2,156309.2,183874.08
20150108120140-67,1,3,-177631.12,72528.41
20150108120150-466,3,3,-194473.27,64578.52
20150109020132-169,3,0,93682.35,-116075.45
20150109020137-850,3,18,76885.875,-104147.26
20150109020146-55,2P,16,129807.34,42366.89
20150109040106-69,3,12,72965.36,118420.34
20150109060105-321,2,3,-178812.7,168121.88
20150109060133-67,1,4,112316.24,78343.17
20150109070152-346,4,2,44491.23,97708.71
20150109090104-441,1,4,75536.35,89576.02
20150109100114-5,3,4,115569.086,51951.184
20150109120126-683,5,2,81018.99,128990.25
20150110010138-303,1,5,-22072.125,-84412.55
20150110020117-451,6,4,41229.89,42700.51
20150110030105-67,3,11,137083.14,-140235.34
20150110030147-494,2P,17,-184305.36,-179870.14
20150110040142-327,2,0,41760.88,-112683.805
20150110050107-785,1,7,-202532.45,-78382.46
20150110050133-481,3,3,-194748.19,50085.367
20150110050137-491,4,6,-149771.7,-98090.836
20150110060107-684,1,4,73425.48,35644.96
20150110090142-745,2,3,-190299.92,5416.1025
20150110100128-45,1,3,-194688.5,102909.84
20150110120122-92,4,0,106366.71,-122672.195
20150111030116-821,1,2,108706.48,92545.69
20150111070138-888,2,5,16701.375,-86903.945
20150111080117-6,1,5,104431.76,-92263.06
20150111090110-546,2,2,63528.516,74484.46
20150111090154-956,3,7,-203433.62,-78991.85
20150112010145-445,3,6,-166816.42,-88741.03
20150112050122-27,1,2,125229.54,107757.87
20150112050156-642,1,12,111249.07,139423.84
20150112060145-428,1,11,35251.277,-113219.38
20150112080120-851,2,3,-177453.44,64722.965
20150112080156-678,3,11,74994.58,-128375.51
20150112090109-791,3,4,102876.37,74119.2
20150112110110-857,1,2,104279.13,141847.12
20150112110147-385,1,0,93786.02,-131823.53
20150112120144-135,2,2,85469.555,72897.234
20150113020105-915,1,4,123430.88,39193.715
20150113030155-53,2,5,70710.66,-90147.98
20150113030159-936,1,4,214219.7,130134.3
20150113120100-489,1,-1,71260.945,127634.82
20150113120141-485,1,18,58605.055,-102333.87
20150114010112-608,2,3,-180776.31,140418.14
20150114010135-879,1,3,-193571.34,66309.48
20150114030106-231,1,3,-193636.16,75430.125
20150114060124-678,1,0,47199.92,-105467.45
20150114070109-176,2,4,88588.95,45725.977
20150114110103-352,3,0,95024.63,-112304.195
20150115010107-702,2,2,84763.85,71778.13
20150115010131-543,1,2,93313.66,76437.68
20150115020146-483,3,4,149769.4,39897.22
20150115030151-677,3,5,72475.2,-90196.445
20150115040106-484,2,0,41504.35,-112644.49
20150115050115-511,2,4,118720.11,96828.29
20150115060113-519,3,3,-178600.0,64089.957
20150115080143-276,2,11,64968.562,-114421.72
20150115080147-541,1,3,-174959.8,95317.72
20150115090108-931,1,0,180368.12,-134717.94
20150115090150-109,2,4,123102.13,51800.28
20150115100135-182,2,3,-178348.38,157176.75
20150115110144-566,1,4,116475.305,51281.133
20150115120113-772,3,0,107035.06,-123257.06
20150116020159-920,2,4,147420.27,96638.086
20150116050129-415,2,0,180173.42,-139461.19
20150116060132-28,2P,14,-187228.98,-141955.2
20150116070109-391,1,0,76081.38,-125835.914
20150116100148-276,2,4,114437.73,40864.918
20150116110131-176,1,4,118175.46,87338.95
20150117010157-104,2,4,136197.75,109521.29
20150117050111-877,1,2,29475.18,86663.81
20150117050152-613,1,3,-194499.58,83746.96
20150117060105-392,1,4,156440.84,54349.156
20150117070118-157,1,2,119540.78,74862.484
20150117100126-822,2,0,162252.75,-133255.42
20150117110134-691,1,13,104826.24,97091.61
20150117120159-447,2,4,133135.97,40593.17
20150118010108-465,2P,-1,-216534.19,-119607.305
20150118010148-280,1,2,90734.0,130984.06
20150118040129-468,2,5,-3594.403,-85696.02
20150118040142-85,4,0,32556.682,-114651.81
20150118100127-966,5,3,-177405.7,191213.92
20150118110104-393,2,6,-143374.58,-101255.72
20150118110157-82,1,18,21936.412,-103069.19
20150119010140-843,3,3,-189195.19,26121.834
20150119050113-178,2,3,-183553.03,94517.59
20150119060114-461,2,0,56906.305,-114580.195
20150119070106-803,4,5,97562.19,-91802.16
20150119070136-139,3,4,121709.32,81966.26
20150119090129-183,1,4,92702.445,26092.062
20150119100120-362,1,6,-144456.44,-100937.09
20150119100134-582,2,6,-157258.5,-93645.13
20150120010150-561,1,3,-194286.08,77568.59
20150120020159-683,1,4,165498.17,43542.777
20150120070135-951,2,3,-182636.62,105172.76
20150120080147-213,1,3,-193460.1,56084.844
20150121010129-985,1,2,98252.016,79248.55
20150121010150-667,4,0,106816.74,-127267.34
20150121020117-781,1,3,-174519.77,96226.055
20150121030143-599,1,4,216319.0,125582.18
20150121040107-161,4,3,-183804.25,87783.8
20150121050143-645,1,0,136826.22,-133258.42
20150121060147-159,1,9,-127657.84,-126736.43
20150121070130-958,5,0,164585.03,-132021.17
20150121100115-258,2P,16,95132.18,30222.697
20150121120122-416,6,4,23590.314,33725.24
20150122020145-884,1,3,-194410.16,72176.39
20150122030139-293,1,7,-199573.95,-76315.13
20150122050120-946,1,3,-189020.02,29510.418
20150122050155-696,1,4,171870.34,115284.14
20150122060128-25,2,13,80216.46,100506.26
20150122060131-462,3,2,35439.715,95401.805
20150122060138-185,3,2,55840.277,108191.74
20150122060151-905,2P,-1,-16701.756,-122154.93
20150122060153-192,1,3,-194298.62,41531.957
20150122090127-897,1,2,113217.49,80579.195
20150122090132-684,1,4,106346.984,45064.15
20150122100136-869,1,3,-176809.48,74161.72
20150122100139-218,1,4,107119.47,35138.805
20150122110107-735,2,4,224301.17,56214.26
20150123020103-717,2,9,-110091.78,-139411.45
20150123030104-225,1,5,-8663.877,-85289.97
20150123030147-354,1,6,-151883.6,-96938.42
20150123040133-735,2,2,113409.82,157285.47
20150123040140-843,3,3,-173921.56,105765.59
20150123040147-250,5,3,-194827.1,80800.195
20150123070109-172,2,3,-194216.3,51718.54
20150123100107-508,1,12,71597.29,144886.16
20150123100144-22,1,2,71149.69,70918.234
20150123110109-178,1,9,-120066.24,-131787.08
20150123120119-117,6,5,-23082.469,-81989.57
20150124030132-312,5,0,26226.273,-113018.34
20150124040121-291,1,4,158011.16,38455.625
20150124040140-271,3,4,176432.7,50455.074
20150124040143-131,2P,-1,-214989.03,-18408.412
20150124040148-340,1,-1,-110347.82,-121472.25
20150124050126-399,3,8,58610.75,-93757.164
20150124060117-847,2,6,-148775.95,-98759.0
20150124060130-672,2,2,33701.074,53554.816
20150124080152-145,1,0,72170.8,-110504.87
20150124090106-75,1,3,-175868.03,84326.516
20150124090120-626,3,3,-193909.77,67901.555
20150125040103-831,3,11,124564.43,-129107.016
20150125080138-74,3,11,72814.23,-115289.96
20150125110117-319,1,-1,-120353.9,-115941.14
20150126050104-378,1,4,116366.234,100485.81
20150126050104-905,3,3,-172938.9,110489.18
20150126090104-272,1,3,-175456.42,79610.25
20150126090110-87,2,4,90428.92,85171.89
20150126100125-762,3,4,114124.45,35429.137
20150126110156-850,1,3,-181380.78,129170.24
20150126120104-294,1,7,-201747.61,-77132.61
20150127010131-864,3,4,204547.86,48912.445
20150127030109-159,3,0,122615.73,-130166.12
20150127030110-863,1,13,130395.84,108098.33
20150127030133-376,1,8,44540.67,-96602.7
20150127050102-625,1,6,-159373.83,-96366.83
20150127090118-293,1,11,88788.195,-131839.88
20150127090150-668,6,3,-194678.64,53839.17
20150127110109-336,1,8,67894.33,-94477.66
20150128020107-210,6,5,-9623.3545,-82570.76
20150128020123-126,2,2,95999.734,139850.22
20150128050153-539,4,7,-200383.11,-75879.37
20150128070124-874,1,4,187503.14,106682.305
20150128080123-70,2P,10,70351.54,-34247.457
20150128120128-946,4,2,81159.3,129154.18
20150129040119-274,3,0,41105.793,-112547.914
20150129050133-736,5,4,65696.67,61011.22
20150129060102-704,4,5,102287.84,-87626.79
20150129070111-412,2,0,65563.83,-115933.65
20150129070156-888,1,2,47976.508,61516.457
20150129090159-131,2,4,106256.46,22863.287
20150129120100-835,1,18,23554.266,-100309.29
20150130010110-805,2,5,67642.555,-86172.36
20150130010144-517,5,3,-194295.3,22967.299
20150130020140-998,3,4,40969.582,42729.746
20150130030134-783,1,13,148871.67,99602.49
20150130080133-858,3,2,51035.95,107177.83
20150130120133-197,2,4,132523.44,43055.156
20150131120109-93,1,0,111280.32,-129510.72
20150201020251-919,2,3,-172967.64,107157.1
20150201030218-279,1,-1,-112401.81,-120304.9
20150201030222-313,1,0,32989.855,-111166.95
20150201030223-912,2,3,-194667.33,76929.64
20150201030237-485,1,2,109386.56,93685.6
20150201040231-215,1,3,-189586.55,15396.254
20150201040237-719,2P,-1,-211313.08,-26665.025
20150201060238-845,2,3,-192855.17,60434.523
20150201070216-808,2,3,-182822.5,110840.02
20150201080212-913,2,4,91321.2,48623.457
20150201080243-358,2,2,109902.9,134940.33
20150202030203-631,2P,10,120408.45,-28486.041
20150202040220-736,3,4,196540.5,56727.652
20150202100259-885,1,3,-176946.17,76350.89
20150202120211-959,3,11,170379.28,-143327.34
20150203060210-288,1,8,11141.798,-93626.945
20150203060230-10,1,11,61737.598,-116876.71
20150203060259-209,2,4,160335.61,28020.447
20150203070211-66,1,4,90555.69,58867.688
20150204010234-9,1,3,-179621.14,153740.75
20150204020258-450,2,15,101036.4,116411.63
20150204040257-657,2,5,-3528.6228,-85880.55
20150204070256-521,5,3,-194248.12,45417.8
20150204080211-442,2,12,37264.594,93845.16
20150204080227-619,4,4,199812.66,123630.64
20150204100226-134,4,4,90151.01,83709.56
20150204110202-249,1,4,122704.47,82985.445
20150204120203-524,4,3,-181039.14,133697.86
20150205010257-226,1,3,-194059.11,76902.92
20150205020259-789,3,0,118505.28,-135018.48
20150205030232-909,1,18,123005.81,-107191.33
20150205030244-387,1,2,104269.305,146297.78
20150205040226-2,2,3,-174462.23,98429.33
20150205040249-209,1,0,130751.9,-131617.44
20150205040259-818,2P,-1,-170204.22,-55402.65
20150205050206-416,1,7,-199980.17,-76903.37
20150205050211-113,1,18,18189.799,-97354.16
20150205050224-69,3,3,-194669.03,83653.75
20150205050251-251,2,11,169056.58,-151414.33
20150205060243-479,1,2,36378.516,120802.81
20150205070257-697,2,0,104512.77,-126559.664
20150205080233-879,2,0,74545.99,-117923.65
20150205080250-857,2,15,52570.066,92880.484
20150205080253-978,4,0,65039.703,-120477.13
20150205110228-447,2,2,73694.38,145131.4
20150205120211-387,5,3,-185195.11,64834.715
20150206010230-163,3,4,139215.23,92181.33
20150206070250-791,1,0,57160.082,-112742.85
20150206080209-247,2,2,87067.89,73033.6
20150206080212-82,1,2,75792.625,63616.027
20150206080226-163,1,3,-177465.5,74063.09
20150206090205-388,3,4,209756.17,128078.984
20150206090210-251,2,6,-158368.6,-93377.92
20150206090224-936,3,3,-177879.14,185483.23
20150206110209-450,2,2,71733.92,67393.86
20150206110226-989,2,4,104740.66,31003.244
20150207010252-949,2,3,-194140.22,22503.572
20150207030221-800,2,4,111034.31,37231.637
20150207040215-112,6,2,22583.822,81367.03
20150207040220-935,6,2,112450.82,147364.16
20150207050247-410,3,0,154154.53,-120059.25
20150207050259-178,1,2,108723.65,89149.17
20150207060250-229,2,5,18507.807,-83861.1
20150207070201-863,2,2,43445.68,101547.16
20150207070236-872,1,3,-181409.28,115518.016
20150207080240-722,1,9,-122674.35,-130817.04
20150207090207-597,1,0,74203.11,-121576.78
20150207100218-368,1,18,33314.723,-100122.31
20150207100246-511,1,0,100816.71,-135806.8
20150207100251-836,1,4,106932.49,28360.703
20150207110213-868,3,13,130084.99,66684.8
20150207120223-773,1,11,105510.04,-120585.39
20150208020258-125,1,2,93200.25,86583.75
20150208050254-21,2,3,-176251.47,192061.08
20150208060247-95,1,3,-177232.23,72567.87
20150208080245-958,2,5,106260.14,-92258.96
20150208100221-140,3,13,130089.15,131956.42
20150208120236-553,3,6,-168076.28,-88281.23
20150209010259-697,1,18,55920.652,-104363.1
20150209030207-239,1,2,109463.25,91516.82
20150209030226-601,3,4,48464.465,52378.03
20150209040222-611,3,2,21769.97,81195.87
20150209040256-114,1,0,131011.18,-131654.06
20150209060217-820,2,3,-188860.72,23522.158
20150209060231-540,1,2,77880.14,74284.59
20150209060231-719,1,8,33683.438,-91817.49
20150209060238-306,3,3,-189551.88,10426.236
20150209080253-791,1,3,-177442.83,71067.56
20150209090220-14,4,2,150238.11,174933.42
20150210010202-458,2,5,-15726.588,-82344.22
20150210020219-563,1,4,141394.31,41410.027
20150210060208-458,2,5,102195.59,-87841.21
20150210080230-653,1,2,141866.34,173917.28
20150210080252-159,2,5,32125.84,-84365.42
20150210090226-728,2P,10,85619.63,-31179.438
20150210100228-734,1,3,-176902.16,75597.1
20150210110251-325,2P,-1,-164055.8,-77025.82
20150211020216-596,1,6,-165893.7,-89704.01
20150211030246-951,3,0,127418.86,-141001.81
20150211030247-915,3,4,153663.7,105432.65
20150211060212-247,2,4,180530.31,119547.95
20150211080249-753,2,6,-153438.22,-100533.86
20150211090217-8,2,6,-145552.52,-100523.78
20150211090239-980,1,0,171159.4,-138776.28
20150211100232-929,3,6,-157302.67,-93930.15
20150211110249-463,1,2,73771.14,130930.71
20150212010257-58,4,7,-198840.6,-76563.91
20150212020201-712,2,7,-202279.02,-77145.875
20150212020230-583,1,5,-17051.453,-84993.336
20150212030241-721,2,4,160770.62,48463.695
20150212040259-674,1,4,143633.17,119563.06
20150212060245-559,2,5,18671.875,-83879.914
20150213010207-861,4,5,59205.61,-89450.84
20150213020216-787,3,3,-198028.67,-12369.966
20150213020242-370,1,6,-165804.84,-89284.4
20150213050220-905,3,3,-173040.92,109640.086
20150213080245-239,3,-1,52580.68,107078.78
20150213100239-978,2,2,65161.816,90325.93
20150213100243-108,2,5,46988.82,-85255.52
20150213100244-187,1,4,149836.42,32015.562
20150213110259-700,1,0,89085.664,-124747.17
